pre;ACD_avg;ACD_max;ACD_sum;FOUT_avg;FOUT_max;FOUT_sum;MLOC_avg;MLOC_max;MLOC_sum;NBD_avg;NBD_max;NBD_sum;NOCU;NOF_avg;NOF_max;NOF_sum;NOI_avg;NOI_max;NOI_sum;NOM_avg;NOM_max;NOM_sum;NOT_avg;NOT_max;NOT_sum;NSF_avg;NSF_max;NSF_sum;NSM_avg;NSM_max;NSM_sum;PAR_avg;PAR_max;PAR_sum;TLOC_avg;TLOC_max;TLOC_sum;VG_avg;VG_max;VG_sum;post;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0.571428571;4;4;5.980769231;29;311;9.230769231;55;480;1.826923077;6;95;7;1.25;8;10;0;0;0;6.375;18;51;1;1;7;0.5;3;4;0.125;1;1;1.173076923;4;61;112;277;784;2.576923077;11;134;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;0;0;4;22;168;6.666666667;32;280;1.357142857;6;57;3;2.6;11;13;0.333333333;1;1;8.2;29;41;0.666666667;1;2;4;16;20;0.2;1;1;1.095238095;4;46;140;386;420;2.333333333;15;98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1.238095238;14;26;4.321266968;33;955;7.027149321;83;1553;1.452488688;5;321;21;3.555555556;26;96;0.095238095;1;2;7.518518519;52;203;0.904761905;1;19;1.074074074;11;29;0.666666667;9;18;0.800904977;4;177;116;679;2436;2.045248869;19;452;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0.555555556;4;5;3.752941176;80;319;6.517647059;118;554;1.564705882;6;133;9;2.090909091;12;23;0;0;0;4.818181818;18;53;1;1;9;0.181818182;1;2;2.909090909;9;32;1.517647059;7;129;99.44444444;219;895;2.411764706;32;205;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;5;18;6.552631579;63;996;10.73684211;75;1632;2.052631579;8;312;9;4.692307692;16;61;0;0;0;11.07692308;36;144;1;1;9;1.846153846;9;24;0.615384615;3;8;0.796052632;4;121;253.4444444;724;2281;2.809210526;21;427;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;2.379310345;8;69;3.965517241;19;115;1.448275862;4;42;4;0.5;1;2;0;0;0;4;8;16;1;1;4;1.75;7;7;3.25;13;13;0.724137931;3;21;53.5;110;214;1.620689655;5;47;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;5.207792208;31;401;8.61038961;52;663;1.857142857;4;143;9;0.833333333;2;10;0.111111111;1;1;5.916666667;15;71;0.888888889;1;8;1.5;6;18;0.5;6;6;1.532467532;5;118;107.8888889;314;971;2.818181818;16;217;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;8.75;19;35;28.75;71;115;2.5;3;10;1;0;0;0;0;0;0;0;0;0;1;1;1;9;9;9;4;4;4;0.25;1;1;140;140;140;8;18;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;0.214285714;2;3;4.540816327;100;445;8.173469388;132;801;1.428571429;5;140;14;1.5625;9;25;0.142857143;1;2;4.75;18;76;0.857142857;1;12;4.75;31;76;1.375;12;22;1.020408163;7;100;86.07142857;348;1205;2.93877551;52;288;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1.846153846;15;48;6.32962963;77;1709;9.018518519;146;2435;1.388888889;5;375;26;3.333333333;16;120;0.038461538;1;1;7.194444444;34;259;0.961538462;1;25;1.444444444;15;52;0.277777778;6;10;0.696296296;3;188;133.5;805;3471;2.033333333;27;549;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
