pre;ACD_avg;ACD_max;ACD_sum;FOUT_avg;FOUT_max;FOUT_sum;MLOC_avg;MLOC_max;MLOC_sum;NBD_avg;NBD_max;NBD_sum;NOCU;NOF_avg;NOF_max;NOF_sum;NOI_avg;NOI_max;NOI_sum;NOM_avg;NOM_max;NOM_sum;NOT_avg;NOT_max;NOT_sum;NSF_avg;NSF_max;NSF_sum;NSM_avg;NSM_max;NSM_sum;PAR_avg;PAR_max;PAR_sum;TLOC_avg;TLOC_max;TLOC_sum;VG_avg;VG_max;VG_sum;post;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;2.974358974;15;116;7;39;273;1.41025641;5;55;5;1.4;5;7;0.2;1;1;4.8;8;24;0.8;1;4;1.4;6;7;3;8;15;1.230769231;7;48;83.8;145;419;1.923076923;9;75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1.375;11;11;6.25;24;450;10.30555556;38;742;1.833333333;6;132;8;1.777777778;14;16;0;0;0;7.888888889;32;71;1;1;8;0.666666667;5;6;0.111111111;1;1;1.416666667;5;102;137.75;479;1102;2.513888889;10;181;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.5;1;1;5.263157895;30;200;9.210526316;48;350;1.763157895;6;67;2;3.75;12;15;0;0;0;9.25;34;37;1;1;2;4.25;16;17;0.25;1;1;1.157894737;4;44;244.5;470;489;3.157894737;19;120;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1.88;14;47;4.372727273;56;1443;6.984848485;80;2305;1.460606061;5;482;25;3.472222222;28;125;0.16;1;4;8.5;56;306;0.84;1;21;1.027777778;13;37;0.666666667;11;24;0.86969697;7;287;143.56;732;3589;2.13030303;18;703;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0.454545455;4;5;4.01010101;80;397;6.686868687;118;662;1.585858586;7;157;11;1.692307692;12;22;0.090909091;1;1;4.153846154;18;54;0.909090909;1;10;0.307692308;2;4;3.461538462;9;45;1.494949495;7;148;95.72727273;241;1053;2.464646465;32;244;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;5;18;6.48502994;68;1083;10.41317365;66;1739;2;8;334;9;4.692307692;14;61;0;0;0;12;40;156;1;1;9;1.923076923;9;25;0.846153846;3;11;0.814371257;4;136;268.6666667;741;2418;2.74251497;12;458;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0.5;2;4;0;0;0;1;0;0;0;1;1;1;8;8;8;0;0;0;3;3;3;0;0;0;2;5;16;14;14;14;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;3.75;6;15;6.75;14;27;1.5;2;6;1;1;1;1;0;0;0;4;4;4;1;1;1;1;1;1;0;0;0;0.75;1;3;51;51;51;2.75;7;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;1.5;2;3;1;1;2;1;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;1;1;1;0.5;1;1;14;14;14;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;8;15;5.206896552;48;604;8.344827586;50;968;1.594827586;5;185;15;2.470588235;21;42;0.066666667;1;1;6.058823529;25;103;0.933333333;1;14;2.176470588;15;37;0.764705882;9;13;0.724137931;4;84;101.6666667;500;1525;2.362068966;13;274;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
