pre;ACD_avg;ACD_max;ACD_sum;FOUT_avg;FOUT_max;FOUT_sum;MLOC_avg;MLOC_max;MLOC_sum;NBD_avg;NBD_max;NBD_sum;NOCU;NOF_avg;NOF_max;NOF_sum;NOI_avg;NOI_max;NOI_sum;NOM_avg;NOM_max;NOM_sum;NOT_avg;NOT_max;NOT_sum;NSF_avg;NSF_max;NSF_sum;NSM_avg;NSM_max;NSM_sum;PAR_avg;PAR_max;PAR_sum;TLOC_avg;TLOC_max;TLOC_sum;VG_avg;VG_max;VG_sum;post
11;1.222222222;11;11;6.818181818;39;525;10.93506494;61;842;1.857142857;6;143;9;1.8;16;18;0;0;0;7.6;34;76;1;1;9;0.7;5;7;0.1;1;1;1.402597403;5;108;137;546;1233;2.688311688;10;207;1
0;0;0;0;2.545454545;17;56;4.363636364;19;96;1.272727273;3;28;5;1.4;3;7;0;0;0;4.4;6;22;1;1;5;0;0;0;0;0;0;1;3;22;38;52;190;1.545454545;5;34;1
23;1.416666667;14;51;4.300438596;56;1961;7.015350877;75;3199;1.489035088;5;679;36;3.016393443;43;184;0.111111111;1;4;7.114754098;77;434;0.888888889;1;32;0.967213115;16;59;0.360655738;11;22;0.890350877;7;406;139.9166667;1023;5037;2.197368421;16;1002;1
5;0.6;4;6;4.041237113;80;392;6.81443299;118;661;1.597938144;7;155;10;1.75;12;21;0.1;1;1;4.333333333;18;52;0.9;1;9;0.25;2;3;3.75;10;45;1.443298969;7;140;104.2;241;1042;2.453608247;32;238;1
5;1.8;5;18;6.45508982;64;1078;10.36526946;63;1731;2.023952096;8;338;10;4.5;15;63;0.1;1;1;11.07142857;37;155;0.9;1;9;1.714285714;8;24;0.857142857;3;12;0.820359281;4;137;243.2;748;2432;2.760479042;12;461;0
1;0;0;0;0.4;2;4;0.6;2;6;0.2;1;2;2;0;0;0;0.5;1;1;4;8;8;0.5;1;1;1.5;3;3;1;2;2;1.8;5;18;12;14;24;0.2;1;2;0
0;0;0;0;0.492957746;7;35;1.028169014;10;73;0.338028169;1;24;3;0;0;0;0.666666667;1;2;8;27;48;0.333333333;1;1;3.666666667;20;22;3.833333333;23;23;0.76056338;7;54;61;120;183;0.394366197;3;28;0
0;0;0;0;1;2;62;1.322580645;5;82;1.016129032;2;63;4;1;1;4;0;0;0;15.5;30;62;1;1;4;0;0;0;0;0;0;0.629032258;7;39;58.5;110;234;1.112903226;2;69;0
1;0;0;0;4.666666667;11;28;5.833333333;13;35;1.666666667;2;10;1;2;2;2;0;0;0;5;5;5;1;1;1;1;1;1;1;1;1;0.666666667;1;4;59;59;59;1.666666667;3;10;1
1;0;0;0;7.939393939;70;1048;11.38636364;110;1503;1.772727273;6;234;5;4;7;36;0.2;1;1;14.33333333;34;129;0.8;1;4;8.777777778;62;79;0.333333333;2;3;1.083333333;5;143;386.6;957;1933;4.333333333;33;572;0
4;0;0;0;2.403846154;17;250;4.048076923;30;421;1.288461538;4;134;10;1.181818182;7;13;0;0;0;7.181818182;38;79;1;1;10;0.818181818;3;9;2.272727273;8;25;0.740384615;3;77;74.9;277;749;2.086538462;9;217;1
0;0;0;0;0.74;5;111;1.806666667;13;271;1.02;3;153;13;3.692307692;10;48;0;0;0;11.46153846;24;149;1;1;13;1;5;13;0.076923077;1;1;0.466666667;2;70;52.92307692;112;688;1.266666667;9;190;0
0;0;0;0;5.294117647;34;90;9.294117647;60;158;1.588235294;4;27;1;4;5;8;0;0;0;8.5;11;17;1;1;1;0;0;0;0;0;0;0.529411765;2;9;221;221;221;2.941176471;17;50;0
0;0;0;0;2.176470588;8;74;3.705882353;19;126;1.411764706;4;48;5;0.4;1;2;0;0;0;4;8;20;1;1;5;1.8;9;9;2.8;14;14;0.647058824;3;22;48.6;126;243;1.558823529;5;53;0
1;0;0;0;6.94972067;103;1244;11.54748603;205;2067;1.94972067;9;349;14;1.19047619;7;25;0.142857143;1;2;7;31;147;0.857142857;1;12;2.857142857;26;60;1.523809524;14;32;1.737430168;6;311;201.5;937;2821;3.379888268;49;605;1
0;0;0;0;12.8;26;64;38.4;94;192;2.8;4;14;1;0;0;0;0;0;0;0;0;0;1;1;1;15;15;15;5;5;5;0.6;2;3;225;225;225;11;28;55;0
0;0;0;0;0.25;6;13;0.403846154;10;21;0.057692308;1;3;3;0;0;0;0.666666667;1;2;8.166666667;27;49;0.333333333;1;1;0.333333333;2;2;0.5;3;3;0.634615385;7;33;33.66666667;60;101;0.134615385;3;7;0
31;0.157894737;1;3;5.034883721;72;1299;8.697674419;84;2244;1.720930233;7;444;19;4.25;15;85;0.052631579;1;1;11.5;49;230;0.947368421;1;18;4.35;40;87;1.4;12;28;0.817829457;7;211;163.3157895;766;3103;3.317829457;22;856;1
3;0;0;0;3.384615385;19;88;9.076923077;66;236;1.576923077;4;41;4;5.5;13;22;0.5;1;2;6.25;16;25;0.5;1;2;4.75;6;19;0.25;1;1;0.730769231;5;19;87.75;235;351;3.153846154;15;82;0
0;0.571428571;5;12;3.085714286;37;864;6.089285714;62;1705;1.603571429;5;449;21;1.454545455;8;48;0.380952381;1;8;8.090909091;55;267;0.619047619;1;13;2.212121212;29;73;0.393939394;6;13;1.067857143;4;299;125.9047619;742;2644;2.232142857;18;625;0
0;0;0;0;5.684210526;33;108;9;32;171;2.315789474;5;44;3;0;0;0;0;0;0;3.333333333;8;10;1;1;3;7;10;21;3;6;9;1.157894737;3;22;87.66666667;136;263;3.157894737;10;60;0
0;0;0;0;1.9;10;38;7.55;43;151;1.8;4;36;2;2.666666667;8;8;0;0;0;5.333333333;13;16;1;1;2;0.666666667;2;2;1.333333333;3;4;1.2;5;24;113;210;226;2.85;14;57;0
0;1.083333333;10;26;3.678733032;59;813;5.914027149;144;1307;1.266968326;5;280;24;2.133333333;13;64;0.083333333;1;2;6.8;43;204;0.916666667;1;22;0.366666667;6;11;0.366666667;5;11;0.841628959;6;186;87.91666667;397;2110;1.71040724;17;378;0
0;0.4;1;2;2.294117647;41;156;3.573529412;57;243;1.191176471;3;81;5;3.6;9;18;0;0;0;13.6;29;68;1;1;5;0.2;1;1;0;0;0;0.647058824;5;44;92.8;199;464;1.588235294;7;108;0
0;0.25;2;7;4.491803279;128;1370;7.432786885;117;2267;1.62295082;6;495;28;1.617647059;10;55;0.035714286;1;1;8;50;272;0.964285714;1;27;1.441176471;23;49;0.970588235;20;33;1.026229508;6;313;117.5714286;613;3292;2.898360656;60;884;0
0;2.375;16;19;8.554216867;227;710;15.59036145;415;1294;1.734939759;6;144;8;4.642857143;37;65;0;0;0;5;16;70;1.375;4;11;2.071428571;19;29;0.928571429;5;13;0.951807229;6;79;212.25;1066;1698;2.43373494;19;202;0
0;0.333333333;1;1;6.255319149;34;294;10.12765957;56;476;1.872340426;6;88;3;3.6;15;18;0;0;0;8.6;39;43;1;1;3;4.8;20;24;0.8;3;4;1.276595745;5;60;217.6666667;607;653;3.446808511;21;162;0
0;0.333333333;1;1;5.368421053;22;102;9.894736842;37;188;1.947368421;5;37;3;3.333333333;5;10;0.333333333;1;1;6.333333333;15;19;0.666666667;1;2;3.333333333;8;10;0;0;0;0.894736842;3;17;100;208;300;2.263157895;8;43;0
11;1.222222222;4;11;6.083333333;65;1095;9.172222222;99;1651;1.755555556;6;316;9;5.363636364;11;59;0;0;0;16;29;176;1;1;9;1;3;11;0.090909091;1;1;0.633333333;2;114;270.2222222;432;2432;2.283333333;12;411;1
10;0.043478261;1;1;3.964028777;21;551;5.532374101;37;769;1.525179856;6;212;23;2.434782609;8;56;0;0;0;4.869565217;22;112;1;1;23;0.304347826;5;7;1.043478261;11;24;1.294964029;5;180;60.91304348;300;1401;1.791366906;7;249;1
37;0.818181818;9;45;5.940038685;125;3071;9.334622824;129;4826;1.878143133;6;971;55;1.923076923;14;125;0.054545455;1;3;6.784615385;67;441;0.945454545;1;52;2.938461538;84;191;1.169230769;16;76;1.063829787;8;550;130.0909091;1408;7155;2.783365571;37;1439;1
41;0.418604651;3;36;4.27306968;51;2269;7.34086629;102;3898;1.924670433;11;1022;86;1.088888889;11;98;0;0;0;5.711111111;69;514;1;1;86;0.122222222;4;11;0.177777778;6;16;0.962335217;7;511;74.43023256;635;6401;2.440677966;22;1296;1
2;0.6;1;3;4.842105263;30;184;8.342105263;55;317;1.868421053;7;71;5;1.6;6;8;0;0;0;7.2;20;36;1;1;5;1.6;6;8;0.4;1;2;0.710526316;2;27;105.6;294;528;2.368421053;12;90;0
